NAME                                    CPU(cores)   MEMORY(bytes)   
api-gateway-6cc5cd7d6-qdgkl             15m          70Mi            
api-gateway-6cc5cd7d6-w9nfd             16m          72Mi            
cart-service-76d69f699d-5pqgt           12m          66Mi            
cart-service-76d69f699d-6w6rc           14m          62Mi            
cart-service-76d69f699d-qdvbx           11m          61Mi            
catalog-service-75748c56b6-4xmc5        13m          95Mi            
catalog-service-75748c56b6-fx9kc        14m          93Mi            
identity-service-59cf694666-jqqnj       28m          102Mi           
notification-service-79c559777b-4t5kz   4m           47Mi            
order-service-79d4c5c84f-8xx9z          44m          149Mi           
order-service-79d4c5c84f-kwg7j          15m          163Mi           
payment-service-5764c9499f-4vf9t        13m          109Mi           
payment-service-5764c9499f-j2qd4        14m          104Mi           
promotion-service-64744b648-5ksb4       13m          106Mi           
rabbitmq-86b9c9ff59-mdnlv               8m           120Mi           
realtime-service-86d46845cd-7fznw       14m          69Mi            
realtime-service-86d46845cd-lst2v       15m          67Mi            
